VFID	VF category	multi_cat	vf_category0	vf_category1	vf_category2	vf_category3	vf_category0_subcat0	vf_category0_subcat1	vf_category0_subcat2	vf_category0_subcat3	vf_category0_subcat4	vf_category1_subcat0	vf_category1_subcat1	vf_category1_subcat2	vf_category1_subcat3	vf_category2_subcat0	vf_category2_subcat1	vf_category2_subcat2	vf_category3_subcat0	vf_category3_subcat1
VF0156	Effector delivery system; Type IV secretion system (T4SS); Type IVB (T4BSS) components	false	Effector delivery system; Type IV secretion system (T4SS); Type IVB (T4BSS) components				Effector delivery system	 Type IV secretion system (T4SS)	 Type IVB (T4BSS) components											
VF0157	Motility; Flagella-mediated motility; Flagella assembly	false	Motility; Flagella-mediated motility; Flagella assembly				Motility	 Flagella-mediated motility	 Flagella assembly											
VF0159	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0160	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ferrous iron binding 	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Ferrous iron binding 				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Ferrous iron binding 										
VF0161	Adherence; Non-fimbrial adhesin; Cell wall anchored protein	false	Adherence; Non-fimbrial adhesin; Cell wall anchored protein				Adherence	 Non-fimbrial adhesin	 Cell wall anchored protein											
VF0162	Others	false	Others				Others													
VF0163	Others	false	Others				Others													
VF0165	Effector delivery system; Type IV secretion system (T4SS); T4SS effectors	false	Effector delivery system; Type IV secretion system (T4SS); T4SS effectors				Effector delivery system	 Type IV secretion system (T4SS)	 T4SS effectors											
VF0166	Regulation	false	Regulation				Regulation													
VF0167	Stress survival	false	Stress survival				Stress survival													
VF0168	Stress survival	false	Stress survival				Stress survival													
VF0169	Stress survival	false	Stress survival				Stress survival													
VF0170	Stress survival	false	Stress survival				Stress survival													
VF0171	Immune modulation; Inflammatory signaling pathway	false	Immune modulation; Inflammatory signaling pathway				Immune modulation	 Inflammatory signaling pathway												
VF0172	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0173	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF0174	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)	false	Adherence; Fimbrial adhesin; Type IV pili; Type IVb pili (T4bP)				Adherence	 Fimbrial adhesin	 Type IV pili	 Type IVb pili (T4bP)										
VF0175	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0177	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve) | Adherence; Non-fimbrial adhesin	true	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve) 	 Adherence; Non-fimbrial adhesin			Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve) 			 Adherence	 Non-fimbrial adhesin							
VF0185	Exotoxin; Intracellularly active toxin; DNase/Genotoxin	false	Exotoxin; Intracellularly active toxin; DNase/Genotoxin				Exotoxin	 Intracellularly active toxin	 DNase/Genotoxin											
VF0186	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0188	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase	false	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase				Exotoxin	 Membrane-acting toxin	 Activator of membrane-bound guanylyl cyclase											
VF0189	Regulation	false	Regulation				Regulation													
VF0190	Regulation	false	Regulation				Regulation													
VF0191	Effector delivery system; Type III secretion system (T3SS); T3SS components	false	Effector delivery system; Type III secretion system (T3SS); T3SS components				Effector delivery system	 Type III secretion system (T3SS)	 T3SS components											
VF0192	Regulation	false	Regulation				Regulation													
VF0194	Adherence; Non-fimbrial adhesin	false	Adherence; Non-fimbrial adhesin				Adherence	 Non-fimbrial adhesin												
VF0202	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve) | Adherence; Non-fimbrial adhesin	true	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Inverse autotransporter (type Ve) 	 Adherence; Non-fimbrial adhesin			Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Inverse autotransporter (type Ve) 			 Adherence	 Non-fimbrial adhesin							
VF0203	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0204	Effector delivery system; Type III secretion system (T3SS); T3SS effectors	false	Effector delivery system; Type III secretion system (T3SS); T3SS effectors				Effector delivery system	 Type III secretion system (T3SS)	 T3SS effectors											
VF0206	Exotoxin; Intracellularly active toxin; RNA N-glycosidase	false	Exotoxin; Intracellularly active toxin; RNA N-glycosidase				Exotoxin	 Intracellularly active toxin	 RNA N-glycosidase											
VF0207	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)											
VF0208	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF0209	Exoenzyme; Protease | Effector delivery system; Type II secretion system (T2SS); T2SS effectors	true	Exoenzyme; Protease 	 Effector delivery system; Type II secretion system (T2SS); T2SS effectors			Exoenzyme	 Protease 				 Effector delivery system	 Type II secretion system (T2SS)	 T2SS effectors						
VF0210	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT) | Effector delivery system; Type II secretion system (T2SS); T2SS effectors	true	Exotoxin; Intracellularly active toxin; ADP-ribosyltransferase (ADPRT) 	 Effector delivery system; Type II secretion system (T2SS); T2SS effectors			Exotoxin	 Intracellularly active toxin	 ADP-ribosyltransferase (ADPRT) 			 Effector delivery system	 Type II secretion system (T2SS)	 T2SS effectors						
VF0211	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase	false	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase				Exotoxin	 Membrane-acting toxin	 Activator of membrane-bound guanylyl cyclase											
VF0212	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0213	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0214	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0215	Others	false	Others				Others													
VF0216	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase	false	Exotoxin; Membrane-acting toxin; Activator of membrane-bound guanylyl cyclase				Exotoxin	 Membrane-acting toxin	 Activator of membrane-bound guanylyl cyclase											
VF0217	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF0218	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF0219	Exotoxin	false	Exotoxin				Exotoxin													
VF0220	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0221	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0222	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0223	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0224	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0225	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)	false	Exotoxin; Membrane-acting toxin; Pore forming toxin (PFT)				Exotoxin	 Membrane-acting toxin	 Pore forming toxin (PFT)											
VF0226	Exotoxin; Intracellularly active toxin; Deamidase	false	Exotoxin; Intracellularly active toxin; Deamidase				Exotoxin	 Intracellularly active toxin	 Deamidase											
VF0227	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system; Gram- non-hemophore-dependent				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system	 Gram- non-hemophore-dependent									
VF0228	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0229	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0230	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Siderophore uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Siderophore uptake system										
VF0231	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF0232	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF0233	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE	false	Effector delivery system; Type V secretion system (T5SS) (Autotransporter); Classical autotransporter (type Va); SPATE				Effector delivery system	 Type V secretion system (T5SS) (Autotransporter)	 Classical autotransporter (type Va)	 SPATE										
VF0234	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system	false	Nutritional/Metabolic factor; Metal uptake; Iron uptake; Heme uptake system				Nutritional/Metabolic factor	 Metal uptake	 Iron uptake	 Heme uptake system										
VF0235	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family	false	Adherence; Fimbrial adhesin; Adhesive pili of the chaperone-usher family				Adherence	 Fimbrial adhesin	 Adhesive pili of the chaperone-usher family											
VF0236	Invasion	false	Invasion				Invasion													
VF0237	Invasion	false	Invasion				Invasion													
VF0238	Invasion	false	Invasion				Invasion													
VF0239	Invasion	false	Invasion				Invasion													
VF0240	Exotoxin; Intracellularly active toxin; Deamidase	false	Exotoxin; Intracellularly active toxin; Deamidase				Exotoxin	 Intracellularly active toxin	 Deamidase											
VF0241	Invasion	false	Invasion				Invasion													
VF0242	Immune modulation; Antiphagocytosis | Immune modulation; Antigen variation	true	Immune modulation; Antiphagocytosis 	 Immune modulation; Antigen variation			Immune modulation	 Antiphagocytosis 				 Immune modulation	 Antigen variation							
VF0243	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)	false	Adherence; Non-fimbrial adhesin; Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)				Adherence	 Non-fimbrial adhesin	 Microbial surface components recognizing adhesive matrix molecules (MSCRAMMs)											
VF0244	Immune modulation; Antiphagocytosis	false	Immune modulation; Antiphagocytosis				Immune modulation	 Antiphagocytosis												
